,Date,Open,High,Low,Close,Adj Close,Volume,company_name,SMA_20,buy_signal,sell_signal,signal_SMA,EMA_10,EMA_30,EMA_50,signal_EMA,RSI,signal,OBV,signal_OBV
1121,2023-07-28,174.0,175.36000061035156,173.22999572753906,174.47999572753906,171.8461456298828,14138800,J&J,161.8804023742676,0,0,1,166.85351946418407,162.33557595348591,160.65270435474093,1,38.53327998220933,0,-398135600.0,1.0
1122,2023-07-31,169.69000244140625,170.22000122070312,166.7100067138672,167.52999877929688,165.00106811523438,22632700,J&J,161.97938537597656,1,0,1,166.51671012801137,162.50754318972776,160.8232284237799,1,28.02213319713657,1,-393758100.0,1.0
1123,2023-08-01,166.3699951171875,169.08999633789062,166.05999755859375,168.88999938964844,166.34054565429688,15810300,J&J,162.25220413208007,1,0,1,166.48468022369963,162.75483367131287,161.0395938053688,1,28.169648289008407,1,-389447000.0,1.0
1124,2023-08-02,168.85000610351562,171.24000549316406,168.85000610351562,169.91000366210938,167.34515380859375,14595600,J&J,162.60184631347656,0,0,1,166.64112996640765,163.05098335758905,161.28687066824037,1,30.161033003549505,0,-379824900.0,1.0
1125,2023-08-03,169.9499969482422,171.32000732421875,169.6699981689453,170.63999938964844,168.0641326904297,17424800,J&J,163.0470230102539,0,0,1,166.89985773441165,163.37441234680458,161.5526456495027,1,32.54604344612352,0,-371592900.0,1.0
1126,2023-08-04,170.33999633789062,172.67999267578125,167.88999938964844,169.0399932861328,166.48828125,23414300,J&J,163.52913360595704,0,0,1,166.8250256463368,163.5753071147527,161.7461999867771,1,30.00995888844774,0,-378359500.0,0.0
1127,2023-08-07,169.49000549316406,173.33999633789062,169.36000061035156,173.10000610351562,170.48699951171875,17736400,J&J,164.1983772277832,1,0,1,167.49083907640625,164.0212227532666,162.0889764387356,1,26.549381698444677,1,-372757000.0,1.0
1128,2023-08-08,172.99000549316406,173.5500030517578,171.38999938964844,173.17999267578125,170.56578063964844,27378700,J&J,164.91489486694337,0,0,1,168.0499193606321,164.44345229432352,162.42140013288906,1,32.85926240911843,0,-366187200.0,1.0
1129,2023-08-09,173.0,174.25,172.0500030517578,173.07000732421875,170.4574432373047,42974400,J&J,165.65308074951173,0,0,1,168.48765097457255,164.83145170999973,162.73653907816026,1,37.990440630298515,0,-359830200.0,1.0
1130,2023-08-10,174.0,175.97000122070312,171.63999938964844,172.1699981689453,169.57102966308594,48213800,J&J,166.31099700927734,1,0,1,168.6846289179386,165.1372309327795,163.0045583167848,1,21.099823122387576,1,-354885100.0,1.0
1131,2023-08-11,172.47999572753906,173.9499969482422,171.6199951171875,173.85000610351562,171.22567749023438,45904100,J&J,166.99944610595702,1,0,1,169.1466377492651,165.53003393648626,163.32695514711617,1,22.372602774327234,1,-359831100.0,0.0
1132,2023-08-14,173.52000427246094,175.60000610351562,171.75,173.44000244140625,170.82186889648438,64036900,J&J,167.70710067749025,0,0,1,169.4512252305777,165.87144264358292,163.62087333336592,1,32.31771150813469,0,-355334600.0,1.0
1133,2023-08-15,172.8000030517578,174.55999755859375,172.13999938964844,172.94000244140625,170.32940673828125,88958100,J&J,168.39062423706054,0,0,1,169.61089459561472,166.15905323033766,163.88395307473516,1,42.903982433376584,0,-362257800.0,0.0
1134,2023-08-16,172.52999877929688,174.72999572753906,172.1300048828125,172.38999938964844,169.78770446777344,85832700,J&J,169.06282119750978,0,0,1,169.6430418450981,166.39315976178514,164.11547273720726,1,51.4999265331202,0,-367329900.0,0.0
1135,2023-08-17,172.86000061035156,175.38999938964844,172.75999450683594,174.00999450683594,171.3832550048828,70904200,J&J,169.34007186889647,0,0,1,169.95944423778622,166.7151013903721,164.40048380652786,1,41.15880966254627,0,-361961400.0,1.0
1136,2023-08-18,173.1699981689453,173.99000549316406,171.30999755859375,172.49000549316406,169.88619995117188,49617200,J&J,169.45333557128907,0,0,1,169.94612709476542,166.91968839429467,164.61560992984724,1,42.14329306781146,0,-354905600.0,1.0
1137,2023-08-21,169.69000244140625,169.85000610351562,165.9600067138672,167.35000610351562,164.82379150390625,151319500,J&J,169.26965103149413,0,0,0,169.01479335097284,166.78446924007608,164.62377391314365,1,47.79138574982137,0,-348081400.0,1.0
1138,2023-08-22,166.86000061035156,167.83999633789062,165.41000366210938,166.02000427246094,163.5138702392578,56835400,J&J,168.95595932006836,0,0,0,168.0146255124792,166.57346285292653,164.58024827887363,1,58.90930346701908,0,-357231200.0,0.0
1139,2023-08-23,165.89999389648438,166.5,163.47000122070312,164.52999877929688,162.04635620117188,119011400,J&J,168.55264053344726,0,0,0,166.92948563769605,166.28139145603913,164.48087996210103,1,58.56658127166741,0,-364479100.0,0.0
1140,2023-08-24,164.02999877929688,166.6699981689453,163.86000061035156,165.08999633789062,162.597900390625,70755100,J&J,168.1291305541992,0,0,0,166.14192468368313,166.0437468711737,164.4070376259647,1,59.957695728990224,0,-359000200.0,1.0
1141,2023-08-25,164.3000030517578,167.77999877929688,164.05999755859375,166.25,164.92922973632812,18185500,J&J,167.78328475952148,0,0,0,165.92143469325492,165.97184253989334,164.42751574793974,1,57.54027245303356,0,-364592100.0,0.0
1142,2023-08-28,165.0,166.2100067138672,163.1699981689453,164.2899932861328,162.98480224609375,18458000,J&J,167.68247146606444,0,0,0,165.3875015210438,165.77913026287402,164.37093874786737,1,66.32361118621273,0,-371075300.0,0.0
1143,2023-08-29,164.8699951171875,165.67999267578125,162.77000427246094,164.30999755859375,163.004638671875,12208600,J&J,167.51567611694335,0,0,0,164.9542537302858,165.60013080539022,164.31735835273042,1,66.51676335106752,0,-378275800.0,0.0
1144,2023-08-30,165.11000061035156,165.8300018310547,163.67999267578125,163.72999572753906,162.4292449951172,9939100,J&J,167.26988067626954,0,0,0,164.4951612329824,165.3955575273081,164.24331469164756,1,67.49937165189016,0,-370019000.0,1.0
1145,2023-08-31,163.3699951171875,163.57000732421875,161.27999877929688,161.67999267578125,160.39553833007812,15333000,J&J,166.88645095825194,0,-1,0,163.74977525063616,165.07297564361585,164.09242150099777,0,71.59509270773394,0,-378031000.0,0.0
1146,2023-09-01,161.4199981689453,162.47999572753906,160.00999450683594,160.47999572753906,159.20506286621094,8609500,J&J,166.5222900390625,0,-1,0,162.9234639080134,164.69440062571877,163.90076037806494,0,70.34978247088885,0,-386326500.0,0.0
1147,2023-09-05,160.55999755859375,161.97000122070312,160.27999877929688,160.67999267578125,159.40347290039062,9019800,J&J,165.9681137084961,0,0,0,162.28346554299105,164.35305044989116,163.7243961632542,0,60.332974478789765,0,-395448100.0,0.0
1148,2023-09-06,159.83999633789062,160.0,157.35000610351562,158.00999450683594,156.7546844482422,9753800,J&J,165.27755889892578,0,0,0,161.27823261667308,163.86283328849447,163.45107413521453,0,60.11162903720123,0,-386218200.0,1.0
1149,2023-09-07,159.13999938964844,161.05999755859375,158.97999572753906,160.02999877929688,158.75865173339844,9931800,J&J,164.69261932373047,0,-1,0,160.82012700153223,163.53353125268183,163.26705757043743,0,73.17496940909027,0,-394908500.0,0.0
1150,2023-09-08,159.58999633789062,160.67999267578125,159.19000244140625,160.55999755859375,159.28443908691406,6957000,J&J,164.17828979492188,0,0,0,160.5409110170562,163.2593962742452,163.1108764534365,0,57.89013089621147,0,,
1151,2023-09-11,161.05999755859375,162.69000244140625,160.4499969482422,162.66000366210938,161.3677520751953,6309300,J&J,163.6853935241699,0,0,0,160.69124575489968,163.13735471301618,163.04251863468193,0,55.78581906573941,0,,
1152,2023-09-12,162.22000122070312,163.92999267578125,161.52999877929688,163.5800018310547,162.2804412841797,6045800,J&J,163.2583221435547,0,0,0,160.98019039658695,163.08206997567189,163.01263324838771,0,50.285564163880636,0,,
1153,2023-09-13,163.75999450683594,164.9499969482422,163.0,163.99000549316406,162.68719482421875,7397500,J&J,162.87621154785157,0,0,0,161.29055483797455,163.0565941594491,162.99987095724384,0,41.9022553651607,0,,
1154,2023-09-14,164.67999267578125,165.27000427246094,163.44000244140625,163.74000549316406,162.43917846679688,7758400,J&J,162.50878524780273,0,0,0,161.49939549776042,163.01676088895542,162.977883016442,0,41.72529332802876,0,,
1155,2023-09-15,163.97999572753906,164.82000732421875,161.2100067138672,161.4499969482422,160.1673583984375,13388900,J&J,161.94799041748047,0,0,0,161.25720693424714,162.83292847021232,162.86766636475556,0,38.65627538368822,0,,
1156,2023-09-18,162.1199951171875,163.14999389648438,160.75,162.47000122070312,161.17926025390625,5789000,J&J,161.51264343261718,0,0,0,161.24303481054878,162.72624019819258,162.80145436040854,0,32.96450069957375,0,,
1157,2023-09-19,162.25,162.85000610351562,161.3800048828125,162.1999969482422,160.91140747070312,5550800,J&J,161.31702423095703,1,0,0,161.18273893057685,162.6091542157739,162.72733487453775,0,29.949743692833422,1,,
1158,2023-09-20,162.19000244140625,163.5399932861328,161.66000366210938,162.91000366210938,161.6157684326172,3837400,J&J,161.222119140625,0,0,1,161.26147156731145,162.54506481040897,162.68374403367812,0,32.672077709039314,0,,
1159,2023-09-21,162.57000732421875,163.5,161.58999633789062,161.66000366210938,160.37570190429688,4526700,J&J,161.13858642578126,1,0,0,161.10042253767242,162.40510591324048,162.59323257762395,0,27.522438146414913,1,,
1160,2023-09-22,161.3000030517578,161.39999389648438,160.25,160.5,159.22491455078125,4976700,J&J,160.96993713378907,1,0,0,160.75942108551038,162.1999322769528,162.46114167461053,0,24.9718383212674,1,,
1161,2023-09-25,160.07000732421875,160.36000061035156,158.72999572753906,160.25999450683594,158.98681640625,6722500,J&J,160.67281646728514,0,0,0,160.43712932564486,161.99263447884294,162.3248936248709,0,38.72427872527478,0,,
