Date,Open,High,Low,Close,Adj Close,Volume,company_name,RSI,buy_signal,sell_signal,signal
8/16/2023,320.7999878,324.4200134,319.7999878,320.3999939,319.1607971,20698900,MICROSOFT,41.68540434,0,0,0
8/17/2023,320.5400085,321.8699951,316.2099915,316.8800049,315.6544495,21257200,MICROSOFT,53.42912471,0,0,0
8/18/2023,314.4899902,318.3800049,311.5499878,316.480011,315.2559814,24744800,MICROSOFT,61.87161778,0,0,0
8/21/2023,317.9299927,322.769989,317.0400085,321.8800049,320.6351013,24040000,MICROSOFT,54.42144549,0,0,0
8/22/2023,325.5,326.0799866,321.4599915,322.4599915,321.2128296,16102000,MICROSOFT,46.55268766,0,0,0
8/23/2023,323.8200073,329.2000122,323.4599915,327,325.7352905,21166400,MICROSOFT,49.86930758,0,0,0
8/24/2023,332.8500061,332.980011,319.9599915,319.9700012,318.7324829,23281400,MICROSOFT,62.63007647,0,0,0
8/25/2023,321.4700012,325.3599854,318.7999878,322.980011,321.730835,21684100,MICROSOFT,64.92001683,0,0,0
8/28/2023,325.6600037,326.1499939,321.7200012,323.7000122,322.4480591,14808500,MICROSOFT,65.67684606,0,0,0
8/29/2023,321.8800049,328.980011,321.8800049,328.4100037,327.1398315,19284600,MICROSOFT,61.40429626,0,0,0
8/30/2023,328.6700134,329.8099976,326.4500122,328.7900085,327.5183716,15222100,MICROSOFT,65.84643319,0,0,0
8/31/2023,329.2000122,330.9100037,326.7799988,327.7600098,326.4923706,26411000,MICROSOFT,65.26824519,0,0,0
9/1/2023,331.3099976,331.9899902,326.7799988,328.6600037,327.388855,14931200,MICROSOFT,64.36431009,0,0,0
9/5/2023,329,334.8500061,328.6600037,333.5499878,332.2599182,18553900,MICROSOFT,74.39607908,0,-1,0
9/6/2023,333.3800049,334.4599915,330.1799927,332.8800049,331.5925598,17535800,MICROSOFT,74.00541665,0,-1,0
9/7/2023,331.2900085,333.0799866,329.0299988,329.9100037,328.6340332,18381000,MICROSOFT,66.56280254,0,0,0
9/8/2023,330.0899963,336.1600037,329.4599915,334.269989,332.9771423,19530100,MICROSOFT,62.49267944,0,0,0
9/11/2023,337.2399902,338.4200134,335.4299927,337.9400024,336.6329651,16583300,MICROSOFT,77.00060958,0,-1,0
9/12/2023,335.8200073,336.7900085,331.480011,331.769989,330.4868164,17565500,MICROSOFT,73.35785602,0,-1,0
9/13/2023,331.3099976,336.8500061,331.1700134,336.0599976,334.7602539,16544400,MICROSOFT,72.61828663,0,-1,0
